date,request,memory,cpu
4/2/2019 5:40,44058,13.21%,2.20%
4/2/2019 5:45,26163,13.12%,1.31%
4/2/2019 5:50,37226,13.17%,1.86%
4/2/2019 5:55,39603,13.18%,1.98%
4/2/2019 6:00,36731,13.17%,1.84%
4/2/2019 6:05,21238,13.10%,1.06%
4/2/2019 6:10,32564,13.15%,1.63%
4/2/2019 6:15,22988,13.11%,1.15%
4/2/2019 6:20,20991,13.10%,1.05%
4/2/2019 6:25,22976,13.11%,1.15%
4/2/2019 6:30,28376,13.13%,1.42%
4/2/2019 6:35,22037,13.10%,1.10%
4/2/2019 6:40,25561,13.12%,1.28%
4/2/2019 6:45,23484,13.11%,1.17%
4/2/2019 6:50,40288,13.19%,2.01%
4/2/2019 6:55,49615,13.23%,2.48%
4/2/2019 7:00,52953,13.25%,2.65%
4/2/2019 7:05,43282,13.20%,2.16%
4/2/2019 7:10,57852,13.27%,2.89%
4/2/2019 7:15,52485,13.24%,2.62%
4/2/2019 7:20,51823,13.24%,2.59%
4/2/2019 7:25,49846,13.23%,2.49%
4/2/2019 7:30,69437,13.32%,3.47%
4/2/2019 7:35,61644,13.29%,3.08%
4/2/2019 7:40,94988,13.44%,4.75%
4/2/2019 7:45,108778,13.51%,5.44%
4/2/2019 7:50,183408,13.86%,9.17%
4/2/2019 7:55,341461,14.59%,17.07%
4/2/2019 8:00,343670,14.60%,17.18%
4/2/2019 8:05,372509,14.74%,18.63%
4/2/2019 8:10,425749,14.99%,21.29%
4/2/2019 8:15,480409,15.24%,24.02%
4/2/2019 8:20,576547,15.69%,28.83%
4/2/2019 8:25,699950,16.27%,35.00%
4/2/2019 8:30,776446,16.62%,38.82%
4/2/2019 8:35,879128,17.10%,43.96%
4/2/2019 8:40,963849,17.50%,48.19%
4/2/2019 8:45,1023209,17.77%,51.16%
4/2/2019 8:50,1066514,17.98%,53.33%
4/2/2019 8:55,1144971,18.34%,57.25%
4/2/2019 9:00,1178756,18.50%,58.94%
4/2/2019 9:05,1193025,18.57%,59.65%
4/2/2019 9:10,1201026,18.60%,60.05%
4/2/2019 9:15,1210061,18.65%,60.50%
4/2/2019 9:20,1251205,18.84%,62.56%
4/2/2019 9:25,1256451,18.86%,62.82%
4/2/2019 9:30,1251357,18.84%,62.57%
4/2/2019 9:35,1274174,18.95%,63.71%
4/2/2019 9:40,1305179,19.09%,65.26%
4/2/2019 9:45,1298394,19.06%,64.92%
4/2/2019 9:50,1314270,19.13%,65.71%
4/2/2019 9:55,1360702,19.35%,68.04%
4/2/2019 10:00,1347902,19.29%,67.40%
4/2/2019 10:05,1349747,19.30%,67.49%
4/2/2019 10:10,1377240,19.43%,68.86%
4/2/2019 10:15,1361753,19.35%,68.09%
4/2/2019 10:20,1386915,19.47%,69.35%
4/2/2019 10:25,1374615,19.41%,68.73%
4/2/2019 10:30,1396981,19.52%,69.85%
4/2/2019 10:35,1370711,19.40%,68.54%
4/2/2019 10:40,1409715,19.58%,70.49%
4/2/2019 10:45,1396840,19.52%,69.84%
4/2/2019 10:50,1398296,19.53%,69.91%
4/2/2019 10:55,1404372,19.55%,70.22%
4/2/2019 11:00,1377126,19.43%,68.86%
4/2/2019 11:05,1373066,19.41%,68.65%
4/2/2019 11:10,1373928,19.41%,68.70%
4/2/2019 11:15,1369473,19.39%,68.47%
4/2/2019 11:20,1366758,19.38%,68.34%
4/2/2019 11:25,1342284,19.26%,67.11%
4/2/2019 11:30,1350703,19.30%,67.54%
4/2/2019 11:35,1308755,19.11%,65.44%
4/2/2019 11:40,1278748,18.97%,63.94%
4/2/2019 11:45,1246786,18.82%,62.34%
4/2/2019 11:50,1255727,18.86%,62.79%
4/2/2019 11:55,1149658,18.37%,57.48%
4/2/2019 12:00,1081298,18.05%,54.06%
4/2/2019 12:05,1073414,18.01%,53.67%
4/2/2019 12:10,1058826,17.94%,52.94%
4/2/2019 12:15,1064696,17.97%,53.23%
4/2/2019 12:20,1030180,17.81%,51.51%
4/2/2019 12:25,948812,17.43%,47.44%
4/2/2019 12:30,888688,17.15%,44.43%
4/2/2019 12:35,884083,17.13%,44.20%
4/2/2019 12:40,880073,17.11%,44.00%
4/2/2019 12:45,868856,17.05%,43.44%
4/2/2019 12:50,858904,17.01%,42.95%
4/2/2019 12:55,863585,17.03%,43.18%
4/2/2019 13:00,820845,16.83%,41.04%
4/2/2019 13:05,815352,16.80%,40.77%
4/2/2019 13:10,806652,16.76%,40.33%
4/2/2019 13:15,802168,16.74%,40.11%
4/2/2019 13:20,809656,16.78%,40.48%
4/2/2019 13:25,823182,16.84%,41.16%
4/2/2019 13:30,845516,16.95%,42.28%
4/2/2019 13:35,870338,17.06%,43.52%
4/2/2019 13:40,871156,17.07%,43.56%
4/2/2019 13:45,883497,17.12%,44.17%
4/2/2019 13:50,920696,17.30%,46.03%
4/2/2019 13:55,1044572,17.87%,52.23%
4/2/2019 14:00,1094941,18.11%,54.75%
4/2/2019 14:05,1131148,18.28%,56.56%
4/2/2019 14:10,1175539,18.49%,58.78%
4/2/2019 14:15,1227909,18.73%,61.40%
4/2/2019 14:20,1225704,18.72%,61.29%
4/2/2019 14:25,1252098,18.84%,62.60%
4/2/2019 14:30,1302346,19.08%,65.12%
4/2/2019 14:35,1326274,19.19%,66.31%
4/2/2019 14:40,1328985,19.20%,66.45%
4/2/2019 14:45,1340482,19.26%,67.02%
4/2/2019 14:50,1317898,19.15%,65.89%
4/2/2019 14:55,1344206,19.27%,67.21%
4/2/2019 15:00,1365840,19.37%,68.29%
4/2/2019 15:05,1352752,19.31%,67.64%
4/2/2019 15:10,1356418,19.33%,67.82%
4/2/2019 15:15,1374941,19.42%,68.75%
4/2/2019 15:20,1351650,19.31%,67.58%
4/2/2019 15:25,1365594,19.37%,68.28%
4/2/2019 15:30,1377104,19.43%,68.86%
4/2/2019 15:35,1324393,19.18%,66.22%
4/2/2019 15:40,1341602,19.26%,67.08%
4/2/2019 15:45,1358194,19.34%,67.91%
4/2/2019 15:50,1373101,19.41%,68.66%
4/2/2019 15:55,1402962,19.55%,70.15%
4/2/2019 16:00,1345940,19.28%,67.30%
4/2/2019 16:05,1347915,19.29%,67.40%
4/2/2019 16:10,1374815,19.42%,68.74%
4/2/2019 16:15,1341422,19.26%,67.07%
4/2/2019 16:20,1341163,19.26%,67.06%
4/2/2019 16:25,1307172,19.10%,65.36%
4/2/2019 16:30,1311717,19.12%,65.59%
4/2/2019 16:35,1299847,19.07%,64.99%
4/2/2019 16:40,1313460,19.13%,65.67%
4/2/2019 16:45,1317672,19.15%,65.88%
4/2/2019 16:50,1339527,19.25%,66.98%
4/2/2019 16:55,1313882,19.13%,65.69%
4/2/2019 17:00,1296365,19.05%,64.82%
4/2/2019 17:05,1306789,19.10%,65.34%
4/2/2019 17:10,1301293,19.07%,65.06%
4/2/2019 17:15,1285338,19.00%,64.27%
4/2/2019 17:20,1250526,18.84%,62.53%
4/2/2019 17:25,1181585,18.51%,59.08%
4/2/2019 17:30,1131510,18.28%,56.58%
4/2/2019 17:35,1119990,18.23%,56.00%
4/2/2019 17:40,1103862,18.15%,55.19%
4/2/2019 17:45,1085987,18.07%,54.30%
4/2/2019 17:50,1068944,17.99%,53.45%
4/2/2019 17:55,1023122,17.77%,51.16%
4/2/2019 18:00,934848,17.36%,46.74%
4/2/2019 18:05,918005,17.28%,45.90%
4/2/2019 18:10,889114,17.15%,44.46%
4/2/2019 18:15,871079,17.07%,43.55%
4/2/2019 18:20,827689,16.86%,41.38%
4/2/2019 18:25,795990,16.71%,39.80%
4/2/2019 18:30,765581,16.57%,38.28%
4/2/2019 18:35,759895,16.55%,37.99%
4/2/2019 18:40,753830,16.52%,37.69%
4/2/2019 18:45,741177,16.46%,37.06%
4/2/2019 18:50,761852,16.56%,38.09%
4/2/2019 18:55,747764,16.49%,37.39%
4/2/2019 19:00,717964,16.35%,35.90%
4/2/2019 19:05,691390,16.23%,34.57%
4/2/2019 19:10,686133,16.20%,34.31%
4/2/2019 19:15,671932,16.14%,33.60%
4/2/2019 19:20,681228,16.18%,34.06%
4/2/2019 19:25,666348,16.11%,33.32%
4/2/2019 19:30,659181,16.08%,32.96%
4/2/2019 19:35,644828,16.01%,32.24%
4/2/2019 19:40,644148,16.01%,32.21%
4/2/2019 19:45,608574,15.84%,30.43%
4/2/2019 19:50,601596,15.81%,30.08%
4/2/2019 19:55,585254,15.73%,29.26%
4/2/2019 20:00,578049,15.70%,28.90%
4/2/2019 20:05,572750,15.67%,28.64%
4/2/2019 20:10,560775,15.62%,28.04%
4/2/2019 20:15,558810,15.61%,27.94%
4/2/2019 20:20,563106,15.63%,28.16%
4/2/2019 20:25,542520,15.53%,27.13%
4/2/2019 20:30,534748,15.50%,26.74%
4/2/2019 20:35,523825,15.44%,26.19%
4/2/2019 20:40,516939,15.41%,25.85%
4/2/2019 20:45,487066,15.27%,24.35%
4/2/2019 20:50,465197,15.17%,23.26%
4/2/2019 20:55,453724,15.12%,22.69%
4/2/2019 21:00,435050,15.03%,21.75%
4/2/2019 21:05,417580,14.95%,20.88%
4/2/2019 21:10,419753,14.96%,20.99%
4/2/2019 21:15,404973,14.89%,20.25%
4/2/2019 21:20,372172,14.74%,18.61%
4/2/2019 21:25,377082,14.76%,18.85%
4/2/2019 21:30,351518,14.64%,17.58%
4/2/2019 21:35,341245,14.59%,17.06%
4/2/2019 21:40,327186,14.53%,16.36%
4/2/2019 21:45,323363,14.51%,16.17%
4/2/2019 21:50,291895,14.36%,14.59%
4/2/2019 21:55,192136,13.90%,9.61%
4/2/2019 22:00,124682,13.58%,6.23%
4/2/2019 22:05,105588,13.49%,5.28%
4/2/2019 22:10,107572,13.50%,5.38%
4/2/2019 22:15,89430,13.42%,4.47%
4/2/2019 22:20,78811,13.37%,3.94%
4/2/2019 22:25,89594,13.42%,4.48%
4/2/2019 22:30,79452,13.37%,3.97%
4/2/2019 22:35,80867,13.38%,4.04%
4/2/2019 22:40,74652,13.35%,3.73%
4/2/2019 22:45,70197,13.33%,3.51%
4/2/2019 22:50,61187,13.29%,3.06%
4/2/2019 22:55,72116,13.34%,3.61%
4/2/2019 23:00,63659,13.30%,3.18%
4/2/2019 23:05,54684,13.26%,2.73%
4/2/2019 23:10,54174,13.25%,2.71%
4/2/2019 23:15,63417,13.30%,3.17%
4/2/2019 23:20,59880,13.28%,2.99%
4/2/2019 23:25,57541,13.27%,2.88%
4/2/2019 23:30,62664,13.29%,3.13%
4/2/2019 23:35,49819,13.23%,2.49%
4/2/2019 23:40,42840,13.20%,2.14%
4/2/2019 23:45,51244,13.24%,2.56%
